335	AirAtlantic(Nig)Limited	\N	\N	ANI	NIGALANTIC	Nigeria	N
336	AirNippon	\N	EL	ANK	ANKAIR	Japan	Y
337	AntaresAirtransport	\N	\N	ANM	Maintenance&ServiceGmbH	ANTARES	N
338	Airnorth	\N	TL	ANO	TOPEND	Australia	Y
339	Aerol	\N	\N	ANQ	ANTIOQUIA	Colombia	N
340	AndesLineasAereas	\N	\N	ANS	AEROANDES	Argentina	N
341	AirNorthCharter-Canada	\N	4N	ANT	AIRNORTH	Canada	Y
342	AirNevada	\N	\N	ANV	AIRNEVADA	UnitedStates	N
343	AOMFrenchAirlines	\N	IW	AOM	FrenchLines	France	N
344	AviacionDelNoroeste	\N	\N	ANW	S.A.deC.V.	AVINOR	N
345	AirNewZealand	\N	NZ	ANZ	NEWZEALAND	NewZealand	Y
346	AviaJaynar	\N	\N	SAP	TOBOL	Kazakhstan	N
347	AeroServiciosEmpresariales	\N	\N	EMS	SERVIEMPRESARIAL	Mexico	N
348	AlconServiciosAereos	\N	\N	AOA	S.A.deC.V.	ALCON	N
349	AVCOM	\N	J6	AOC	AEROAVCOM	Russia	N
350	AeroVodochody	\N	\N	AOD	AEROCZECH	CzechRepublic	N
351	AirOneExecutive	\N	\N	AOE		Italy	N
352	AtairPtyLtd.	\N	\N	AOF	ATAIR	SouthAfrica	N
353	AeroVIP	\N	2D	AOG	AVIP	Argentina	N
354	AeromundoEjecutivo	\N	\N	MUN	AEROMUNDO	Mexico	N
355	AerolineaMuri	\N	\N	MUR	MURI	Mexico	N
356	Astoria	\N	\N	AOI	Inc.	ASTORIA	N
357	AeroRentJSC	\N	\N	NRO	AEROMASTER	Russia	N
358	Aeronord-Grup	\N	\N	NRP	AERONORD	Moldova	N
359	AeroatlanticoColombia	\N	\N	AOK	\N	Colombia	N
360	AngkorAirlines	\N	\N	AOL	ANGKORAIR	Cambodia	N
361	AeroEntreprise	\N	\N	AON	AEROENTERPRISE	France	N
362	As	\N	\N	AOO	OpenedJointStockCompany	COMPANYAS	N
363	Aeropiloto	\N	\N	AOP	AEROPILOTO	Portugal	N
364	AeroenlacesNacionales	\N	\N	VIV	AEROENLACES	Mexico	N
365	AerovisAirlines	\N	\N	VIZ	AEROVIZ	Ukraine	N
366	AvjetInternational(FZE)	\N	\N	VJE	\N	UnitedArabEmirates	N
367	AerovistaGulfExpress	\N	\N	VGF	VISTAGULF	UnitedArabEmirates	N
368	AirVegas	\N	6V	VGA	AIRVEGAS	UnitedStates	N
369	Almaver	\N	\N	VER	ALMAVER	Mexico	N
370	AfroInternationalEnt.Limited	\N	\N	AOR	INTER-AFRO	Nigeria	N
371	AlitaliaExpress	\N	XM	SMX	ALIEXPRESS	Italy	Y
372	AsiaOvernightExpress	\N	OE	AOT	ASIAOVERNIGHT	Philippines	N
373	AirTractor	\N	\N	AOU	AIRTRACTOR	Croatia	N
374	AeroVision	\N	\N	AOV	AEROVISION	France	N
375	AerotaxiDelValle	\N	\N	AOX	AEROVALLE	Colombia	N
376	AirParkAviationLtd.	\N	\N	APA	CAN-AM	Canada	N
377	AirpacAirlines	\N	\N	APC	Inc.	AIRPAC	N
378	AeroserviciosMonterrey	\N	\N	SVM	SERVIMONTE	Mexico	N
379	AmapolaFlygAB	\N	\N	APF	AMAPOLA	Sweden	N
